1244,6821,1464241204.0
1074,6838,1464243024.0
350,6777,1464246654.0
1349,6792,1464248401.0
1219,6854,1464248403.0
1398,6780,1464248416.0
500,6922,1464248426.0
20,6799,1464248434.0
2004,6925,1464250200.0
1051,6859,1464252004.0
442,7035,1464252013.0
14,6782,1464255605.0
2100,6791,1464259200.0
1996,6858,1464261004.0
540,6783,1464262807.0
1324,6821,1464262808.0
1237,6819,1464262825.0
1606,6780,1464262827.0
1535,6795,1464262838.0
88,6821,1464264607.0
1920,6956,1464268200.0
554,6820,1464268209.0
1019,6817,1464268212.0
97,6911,1464270001.0
1599,6782,1464275422.0
621,6914,1464275430.0
2093,6922,1464275441.0
516,6784,1464277207.0
967,6783,1464277215.0
423,6925,1464277219.0
37,7104,1464277228.0
240,6783,1464279011.0
696,6943,1464279052.0
1084,6778,1464280801.0
1665,6811,1464282605.0
1665,6811,1464284413.0
214,6800,1464284416.0
294,6783,1464284437.0
428,6886,1464288006.0
683,6889,1464288009.0
876,6920,1464289837.0
1268,6791,1464291605.0
1514,7212,1464291611.0
1305,6925,1464291630.0
1703,7035,1464291632.0
1588,6776,1464291636.0
128,6810,1464293409.0
1318,6910,1464295204.0
1839,6780,1464295210.0
701,6792,1464295238.0
767,6791,1464295257.0
110,6854,1464297004.0
456,6810,1464297007.0
1035,6790,1464297023.0
483,6779,1464297027.0
1126,6888,1464297029.0
394,6875,1464298805.0
735,6792,1464298806.0
380,6792,1464298813.0
97,6911,1464298836.0
1204,6776,1464304212.0
1548,6776,1464304215.0
1034,6794,1464306001.0
1816,6946,1464306007.0
1056,6780,1464309612.0
1995,6925,1464309615.0
1596,6791,1464309619.0
319,6857,1464311400.0
1428,6984,1464313224.0
668,6781,1464313230.0
252,6810,1464313236.0
1839,6780,1464313244.0
305,6943,1464316829.0
936,6949,1464316832.0
1482,6787,1464316833.0
128,6810,1464316841.0
1994,6858,1464322200.0
834,6819,1464322206.0
394,6875,1464322209.0
288,6868,1464322210.0
987,6925,1464322221.0
1506,6780,1464322229.0
1935,6799,1464324029.0
674,6778,1464324038.0
2033,6791,1464324040.0
1868,6888,1464325811.0
388,6795,1464325824.0
789,6796,1464325833.0
631,6789,1464325834.0
1844,6956,1464325846.0
1847,6779,1464325849.0
80,6791,1464329399.0
240,6783,1464331200.0
1978,7212,1464331208.0
265,6819,1464331217.0
1996,6858,1464331218.0
560,6925,1464331221.0
2050,6794,1464334812.0
1450,6794,1464334818.0
1638,7347,1464334826.0
254,7024,1464334828.0
2067,6784,1464336625.0
1975,6949,1464340205.0
417,6789,1464342002.0
982,7443,1464342015.0
131,6974,1464345610.0
137,8205,1464345620.0
428,6886,1464345632.0
1768,6891,1464347401.0
412,6778,1464347419.0
853,7212,1464349202.0
968,6911,1464349232.0
759,6857,1464351001.0
1356,6783,1464351005.0
1366,6810,1464351039.0
1989,6782,1464354611.0
1506,6780,1464354614.0
1978,7212,1464354618.0
388,6795,1464354644.0
423,6925,1464356422.0
669,6984,1464358200.0
1110,6973,1464358203.0
1649,6857,1464358223.0
431,6810,1464358239.0
789,6796,1464358241.0
319,6857,1464358242.0
1118,6850,1464360004.0
365,6819,1464360023.0
1754,6810,1464360031.0
62,6792,1464361828.0
1688,7024,1464363608.0
1793,7058,1464363648.0
1241,6785,1464365409.0
1882,6925,1464369014.0
861,6925,1464369023.0
394,6875,1464370823.0
461,6787,1464372604.0
1989,6782,1464372605.0
1574,6850,1464372618.0
1975,6949,1464372623.0
305,6943,1464372633.0
1192,7212,1464372643.0
336,9079,1464376227.0
1305,6925,1464379822.0
521,6809,1464379827.0
214,6800,1464379848.0
1130,9529,1464379852.0
1118,6850,1464379861.0
1127,7008,1464381612.0
1450,6794,1464381613.0
257,6792,1464381632.0
554,6820,1464381638.0
1189,7280,1464381639.0
630,6785,1464383411.0
667,6783,1464385199.0
1302,7022,1464385217.0
556,6809,1464385245.0
1935,6799,1464387002.0
412,6778,1464387012.0
1617,7024,1464387024.0
1789,6819,1464388799.0
759,6857,1464390600.0
1354,6789,1464392407.0
1225,6850,1464394201.0
1535,6795,1464394226.0
37,7104,1464394234.0
602,6813,1464394240.0
1991,6850,1464396001.0
69,6853,1464397806.0
1019,6817,1464397809.0
985,6925,1464399605.0
1588,6776,1464399624.0
1125,6792,1464399641.0
311,6866,1464401406.0
2100,6791,1464401413.0
1819,6838,1464401427.0
1816,6946,1464401437.0
834,6819,1464403202.0
263,6925,1464403221.0
1926,7007,1464403227.0
449,6778,1464403233.0
442,7035,1464403244.0
291,6815,1464403253.0
735,6792,1464406807.0
1626,6778,1464406826.0
131,6974,1464406838.0
1754,6810,1464408607.0
674,6778,1464408616.0
329,6914,1464410414.0
1498,6795,1464414008.0
1972,6789,1464415799.0
767,6791,1464415805.0
1482,6787,1464415822.0
311,6866,1464415823.0
1741,6799,1464415828.0
1095,6792,1464415830.0
20,6799,1464417632.0
230,6853,1464417637.0
843,6809,1464419399.0
426,6797,1464419407.0
388,6795,1464421225.0
40,6809,1464421231.0
1450,6794,1464423002.0
698,6781,1464423010.0
423,6925,1464423020.0
1126,6888,1464423032.0
128,6810,1464423060.0
1441,6782,1464424833.0
936,6949,1464426602.0
131,6974,1464426606.0
1514,7212,1464426626.0
1237,6819,1464428406.0
1204,6776,1464430215.0
2014,8474,1464430242.0
155,7008,1464433803.0
1926,7007,1464435621.0
1969,9671,1464435622.0
4,6888,1464435651.0
339,6778,1464437424.0
20,6799,1464437428.0
1244,6821,1464437433.0
1258,7058,1464437435.0
1033,6818,1464441003.0
1162,6974,1464441010.0
853,7212,1464441011.0
1225,6850,1464441015.0
1085,6910,1464441024.0
1110,6973,1464441027.0
1573,6777,1464441034.0
280,6956,1464441049.0
2095,6889,1464441053.0
1056,6780,1464442810.0
1037,6951,1464444605.0
577,7270,1464444628.0
1095,6792,1464444629.0
265,6819,1464444645.0
1999,6866,1464448202.0
1844,6956,1464448205.0
1649,6857,1464448210.0
1305,6925,1464448223.0
518,6782,1464450005.0
650,6811,1464450009.0
533,6791,1464450017.0
1127,7008,1464450039.0
1972,6789,1464450041.0
1506,6780,1464451814.0
1085,6910,1464453601.0
