timestamp,userSessionId,userId,teamId,assignmentId,sessionType,teamLevel,platformType
2016-05-26 14:47:30,5675,170,90,5423,start,1,iphone
2016-05-27 00:06:54,5675,170,90,5423,end,1,iphone
2016-05-26 14:43:09,5795,835,39,5300,start,1,android
2016-05-27 08:06:54,5795,835,39,5300,end,1,android
2016-05-26 14:47:20,5833,624,2,5529,start,1,iphone
2016-05-27 23:06:54,5833,624,2,5529,end,1,iphone
2016-05-26 14:37:33,5877,514,2,5528,start,1,windows
2016-05-27 23:06:54,5877,514,2,5528,end,1,windows
2016-05-26 14:36:55,5902,2103,2,5527,start,1,iphone
2016-05-27 23:06:54,5902,2103,2,5527,end,1,iphone
2016-05-26 14:50:24,5921,518,2,5520,start,1,linux
2016-05-27 23:06:54,5921,518,2,5520,end,1,linux
2016-05-26 14:44:55,5924,569,2,5524,start,1,iphone
2016-05-27 23:06:54,5924,569,2,5524,end,1,iphone
2016-05-27 17:06:54,7270,2353,2,7264,start,1,iphone
2016-05-27 23:06:54,7270,2353,2,7264,end,1,iphone
2016-05-26 14:38:34,5700,1353,8,5562,start,1,android
2016-05-27 23:06:54,5700,1353,8,5562,end,1,android
2016-05-26 15:05:00,5708,1175,8,5553,start,1,iphone
2016-05-27 23:06:54,5708,1175,8,5553,end,1,iphone
2016-05-26 14:37:50,5718,673,8,5546,start,1,iphone
2016-05-27 23:06:54,5718,673,8,5546,end,1,iphone
2016-05-26 15:02:52,5818,2314,8,5555,start,1,windows
2016-05-27 23:06:54,5818,2314,8,5555,end,1,windows
2016-05-26 14:51:33,5958,2383,8,5559,start,1,android
2016-05-27 23:06:54,5958,2383,8,5559,end,1,android
2016-05-26 14:37:51,5655,1277,9,5403,start,1,windows
2016-05-27 23:06:54,5655,1277,9,5403,end,1,windows
2016-05-26 14:47:20,5693,411,9,5394,start,1,iphone
2016-05-27 23:06:54,5693,411,9,5394,end,1,iphone
2016-05-26 14:41:03,5698,1143,9,5152,start,1,android
2016-05-27 23:06:54,5698,1143,9,5152,end,1,android
2016-05-26 14:51:16,5706,1652,9,5150,start,1,android
2016-05-27 23:06:54,5706,1652,9,5150,end,1,android
2016-05-26 14:46:25,5710,1082,9,5157,start,1,iphone
2016-05-27 23:06:54,5710,1082,9,5157,end,1,iphone
2016-05-26 14:41:41,5721,21,9,5146,start,1,android
2016-05-27 23:06:54,5721,21,9,5146,end,1,android
2016-05-26 14:54:45,5820,1300,9,5396,start,1,android
2016-05-27 23:06:54,5820,1300,9,5396,end,1,android
2016-05-26 14:48:52,5861,900,9,5398,start,1,linux
2016-05-27 23:06:54,5861,900,9,5398,end,1,linux
2016-05-26 14:59:31,5862,2214,9,5153,start,1,windows
2016-05-27 23:06:54,5862,2214,9,5153,end,1,windows
2016-05-26 14:56:40,5868,2279,9,5148,start,1,iphone
2016-05-27 23:06:54,5868,2279,9,5148,end,1,iphone
2016-05-26 14:48:21,5870,371,9,5149,start,1,android
2016-05-27 23:06:54,5870,371,9,5149,end,1,android
2016-05-26 14:55:29,5920,1027,9,5158,start,1,iphone
2016-05-27 23:06:54,5920,1027,9,5158,end,1,iphone
