timestamp,team,userId,assignmentId
2016-05-26 14:06:54,64,504,5439
2016-05-26 14:07:00,39,1698,5301
2016-05-26 14:07:04,85,81,5540
2016-05-26 14:07:08,95,1976,5307
2016-05-26 14:07:09,97,1009,5368
2016-05-26 14:07:13,39,1208,5298
2016-05-26 14:07:17,70,1665,5011
2016-05-26 14:07:20,18,665,5235
2016-05-26 14:07:20,44,1962,5058
2016-05-26 14:07:21,59,801,5170
2016-05-26 14:07:22,11,2216,5311
2016-05-26 14:07:22,94,2135,5328
2016-05-26 14:07:24,53,1104,5273
2016-05-26 14:07:25,54,1948,5453
2016-05-26 14:07:27,77,706,5344
2016-05-26 14:07:28,70,1816,5001
2016-05-26 14:07:34,94,2166,5334
2016-05-26 14:07:35,36,1174,5243
2016-05-26 14:07:43,61,2245,5496
2016-05-26 14:07:44,66,1315,5534
2016-05-26 14:07:44,100,1199,5463
2016-05-26 14:07:45,27,820,5013
2016-05-26 14:07:48,61,1432,5489
2016-05-26 14:07:50,77,179,5356
2016-05-26 14:07:51,22,1852,5592
2016-05-26 14:07:54,74,160,5502
2016-05-26 14:07:54,11,1079,5315
2016-05-26 14:07:55,69,1745,5180
2016-05-26 14:08:00,64,2009,5442
2016-05-26 14:08:04,35,578,5094
2016-05-26 14:08:05,82,1928,5105
2016-05-26 14:08:08,35,2229,5101
2016-05-26 14:08:08,64,1720,5119
2016-05-26 14:08:09,86,1243,5131
2016-05-26 14:08:10,35,973,5099
2016-05-26 14:08:12,18,1076,5362
2016-05-26 14:08:14,36,389,5241
2016-05-26 14:08:18,35,2078,5100
2016-05-26 14:08:26,75,1473,5431
2016-05-26 14:08:29,9,1082,5157
2016-05-26 14:08:35,53,426,5282
2016-05-26 14:08:35,69,1162,5183
2016-05-26 14:08:43,28,2194,5512
2016-05-26 14:08:47,66,1559,5535
2016-05-26 14:08:59,35,868,5102
2016-05-26 14:09:01,54,1026,5635
2016-05-26 14:09:08,18,121,5061
2016-05-26 14:09:16,39,1073,5306
2016-05-26 14:09:18,61,744,5492
2016-05-26 14:09:27,90,1831,5428
2016-05-26 14:09:29,97,813,5366
2016-05-26 14:09:34,95,1502,5308
2016-05-26 14:09:34,90,1443,5425
2016-05-26 14:09:34,100,1312,5460
2016-05-26 14:09:38,97,412,5084
2016-05-26 14:09:38,27,1892,5069
2016-05-26 14:09:39,64,1567,5392
2016-05-26 14:09:40,97,1256,5081
2016-05-26 14:09:41,35,930,5161
2016-05-26 14:09:47,71,899,5615
2016-05-26 14:09:49,72,489,5418
2016-05-26 14:09:50,11,907,5310
2016-05-26 14:09:52,59,2355,5164
2016-05-26 14:09:53,78,1185,5277
2016-05-26 14:10:00,54,178,5639
2016-05-26 14:10:01,2,2015,5525
2016-05-26 14:10:01,64,497,5393
2016-05-26 14:10:02,84,1430,5032
2016-05-26 14:10:07,39,835,5300
2016-05-26 14:10:08,20,32,5108
2016-05-26 14:10:08,2,518,5520
2016-05-26 14:10:09,44,1591,5056
2016-05-26 14:10:12,86,231,5126
2016-05-26 14:10:12,22,30,5190
2016-05-26 14:10:16,54,1643,5645
2016-05-26 14:10:19,53,654,5295
2016-05-26 14:10:22,72,2354,5411
2016-05-26 14:10:22,35,576,5090
2016-05-26 14:10:25,53,1476,5296
2016-05-26 14:10:25,99,2368,5202
2016-05-26 14:10:25,99,2197,5204
2016-05-26 14:10:25,99,274,5206
2016-05-26 14:10:27,27,2278,5018
2016-05-26 14:10:27,77,2099,5347
