userId,userSessionId,teamLevel,platformType,count_gameclicks,count_hits,count_buyId,avg_price
812,5648,1,android,69,8,NULL,NULL
1658,5649,1,iphone,31,5,NULL,NULL
1589,5650,1,iphone,26,2,NULL,NULL
1863,5651,1,android,35,4,NULL,NULL
937,5652,1,android,39,0,1,1.00
342,5653,1,android,36,5,NULL,NULL
849,5654,1,iphone,40,5,NULL,NULL
1277,5655,1,windows,46,8,NULL,NULL
2203,5656,1,android,68,6,NULL,NULL
585,5657,1,iphone,76,9,NULL,NULL
1370,5658,1,iphone,69,6,NULL,NULL
1623,5659,1,iphone,129,9,1,10.00
881,5660,1,iphone,36,6,NULL,NULL
83,5661,1,android,102,14,1,5.00
453,5662,1,android,102,7,NULL,NULL
1966,5663,1,iphone,63,8,NULL,NULL
1073,5664,1,android,141,21,NULL,NULL
121,5665,1,android,39,4,1,3.00
462,5666,1,android,90,10,1,3.00
708,5667,1,iphone,32,2,NULL,NULL
1145,5668,1,windows,102,17,NULL,NULL
445,5669,1,android,79,8,NULL,NULL
351,5670,1,windows,51,5,NULL,NULL
2355,5671,1,iphone,93,9,NULL,NULL
591,5672,1,windows,134,14,NULL,NULL
1900,5673,1,windows,61,3,NULL,NULL
770,5674,1,iphone,72,4,NULL,NULL
170,5675,1,iphone,64,7,NULL,NULL
1926,5676,1,android,50,4,NULL,NULL
1035,5677,1,android,73,14,NULL,NULL
1559,5678,1,android,199,24,NULL,NULL
819,5679,1,iphone,51,8,1,20.00
1588,5680,1,android,32,2,NULL,NULL
1034,5681,1,iphone,38,1,NULL,NULL
782,5682,1,iphone,48,5,NULL,NULL
2368,5683,1,iphone,63,4,NULL,NULL
1631,5684,1,windows,25,4,NULL,NULL
1756,5685,1,android,58,6,NULL,NULL
1629,5686,1,iphone,45,6,NULL,NULL
1315,5687,1,windows,188,21,NULL,NULL
852,5688,1,android,31,5,NULL,NULL
982,5689,1,iphone,96,14,NULL,NULL
2120,5690,1,iphone,59,3,NULL,NULL
344,5691,1,iphone,84,16,NULL,NULL
489,5692,1,iphone,82,8,NULL,NULL
411,5693,1,iphone,53,5,NULL,NULL
2229,5694,1,iphone,63,5,NULL,NULL
1924,5695,1,iphone,49,5,NULL,NULL
970,5696,1,iphone,34,2,NULL,NULL
2199,5697,1,android,51,6,2,2.50
1143,5698,1,android,47,5,2,2.00
515,5699,1,iphone,73,9,NULL,NULL
1353,5700,1,android,132,11,NULL,NULL
2333,5701,1,android,283,28,NULL,NULL
355,5702,1,iphone,114,14,NULL,NULL
1560,5703,1,android,101,15,NULL,NULL
1928,5704,1,android,85,9,NULL,NULL
1874,5705,1,mac,45,3,NULL,NULL
1652,5706,1,android,46,7,1,1.00
867,5707,1,iphone,77,8,NULL,NULL
1175,5708,1,iphone,116,11,NULL,NULL
2222,5709,1,iphone,41,6,1,20.00
1082,5710,1,iphone,39,4,NULL,NULL
128,5711,1,iphone,38,3,NULL,NULL
744,5712,1,windows,94,4,NULL,NULL
487,5713,1,iphone,78,8,NULL,NULL
1591,5714,1,iphone,62,10,NULL,NULL
1972,5715,1,mac,284,29,NULL,NULL
374,5716,1,android,47,7,1,3.00
321,5717,1,windows,63,5,NULL,NULL
673,5718,1,iphone,126,18,NULL,NULL
1191,5719,1,iphone,55,8,NULL,NULL
1535,5720,1,iphone,76,7,1,20.00
21,5721,1,android,52,2,1,3.00
2053,5722,1,android,68,4,NULL,NULL
309,5723,1,windows,73,9,NULL,NULL
1260,5724,1,iphone,43,3,NULL,NULL
343,5725,1,windows,68,2,NULL,NULL
217,5726,1,mac,39,2,NULL,NULL
1205,5727,1,android,25,3,NULL,NULL
751,5728,1,android,59,7,NULL,NULL
1173,5729,1,iphone,41,3,NULL,NULL
1214,5730,1,linux,72,11,NULL,NULL
2004,5731,1,iphone,39,4,NULL,NULL
1485,5732,1,iphone,81,14,NULL,NULL
292,5733,1,windows,327,27,NULL,NULL
127,5734,1,iphone,52,4,NULL,NULL
1404,5735,1,mac,85,6,NULL,NULL
2161,5736,1,android,71,9,NULL,NULL
1387,5737,1,android,75,13,NULL,NULL
422,5738,1,android,66,2,NULL,NULL
1362,5739,1,iphone,114,9,NULL,NULL
28,5740,1,iphone,27,3,NULL,NULL
1042,5741,1,android,44,3,NULL,NULL
2243,5742,1,android,61,9,NULL,NULL
1059,5743,1,android,45,2,NULL,NULL
1368,5744,1,iphone,64,9,NULL,NULL
25,5745,1,mac,63,10,NULL,NULL
1072,5746,1,iphone,123,19,NULL,NULL
239,5747,1,iphone,68,11,NULL,NULL
600,5748,1,iphone,93,11,NULL,NULL
2379,5749,1,android,62,9,1,3.00
2283,5750,1,android,63,5,NULL,NULL
30,5751,1,iphone,40,3,NULL,NULL
1351,5752,1,iphone,66,5,NULL,NULL
